tk_run_id,tk_run_runner,tk_run_verifier,tk_run_duration,tk_run_category_dashname,tk_run_date,tk_run_description,tk_run_link
1,sertdfyguhi,Fl1pNatic,00:01:12,Any,10/15/2021,,https://cdn.discordapp.com/attachments/897932486250758165/898417948358750248/Screen_Recording_2021-10-15_at_11.49.18_AM.mov
2,bombie,Fl1pNatic,00:21:60,Any,10/14/2021,,https://cdn.discordapp.com/attachments/897932486250758165/897943095189045248/2021-10-13_23-19-51.mp4
3,tags,Fl1pNatic,00:32:12,ArchInstall,10/15/2021,,https://cdn.discordapp.com/attachments/897932486250758165/898583526516072458/install.mp4
4,sertdfyguhi,Fl1pNatic,00:01:22,Low,10/15/2021,,https://cdn.discordapp.com/attachments/897932486250758165/898371515958059048/Screen_Recording_2021-10-15_at_8.46.03_AM.mov
5,Deltara,Fl1pNatic,00:01:27,Low,10/15/2021,,https://cdn.discordapp.com/attachments/897932486250758165/898374663938375751/2021-10-14_20-58-34.mp4
6,litecave,Fl1pNatic,00:06:24,Low,10/15/2021,,https://www.youtube.com/watch?v=b7u6_3mhBPQ
7,Specky,Fl1pNatic,00:02:40,Low,10/15/2021,multi terminal strats(slow af),https://cdn.discordapp.com/attachments/897932486250758165/898614569528856586/1lowspwn.mp4
8,LiteCave,Deltara,0:03:14,Low,10/15/2021,,https://youtu.be/jNPPAfUz_dw
9,LiteCave,Deltara,0:10:318,Any,10/16/2021,Used code: $.print('a'),https://youtu.be/49pctRWUo98
10,sertdfyguhi,Fl1pNatic,00:00:52,Low,10/17/2021,Amazing,https://cdn.discordapp.com/attachments/897932486250758165/899129543988740096/Screen_Recording_2021-10-17_at_10.58.41_AM.mov
11,Fl1pnatic,tags,00:03:03,Low,10/17/2021,,https://cdn.discordapp.com/attachments/897932486250758165/898598834807128105/8Wy6F7pXCU.mp4
12,tags,Fl1pNatic,16:37:21,Meme,10/17/2021,,https://youtu.be/iSbrbSd9LTY
13,litecave,Fl1pNatic,22:37:13,Meme,10/22/2021,,https://youtu.be/fujhMKLt420
